model,model_display,lab,imaging,consultation,procedure,total
openai/gpt-4o,GPT-4o,0.3,0.85,0.58,0.45,2.19
openai/gpt-4o-mini,GPT-4o Mini,0.49,1.0,0.56,0.45,2.5
openai/gpt-5.2,GPT-5.2,4.04,2.49,0.71,2.64,9.88
openrouter/anthropic/claude-3.5-haiku,Claude 3.5 Haiku,1.0,1.19,1.08,0.81,4.08
openrouter/anthropic/claude-sonnet-4,Claude Sonnet 4,1.6,1.11,0.7,0.87,4.29
openrouter/deepseek/deepseek-r1,DeepSeek R1,1.21,1.42,0.91,1.0,4.54
openrouter/google/gemini-2.0-flash-001,Gemini 2.0 Flash,1.6,1.32,0.61,0.74,4.27
openrouter/google/gemini-3-pro-preview,Gemini 3 Pro,1.46,1.33,0.59,0.77,4.15
openrouter/meta-llama/llama-4-maverick,Llama 4 Maverick,0.61,0.98,0.82,0.5,2.91
openrouter/meta-llama/llama-4-scout,Llama 4 Scout,0.89,1.13,0.87,0.59,3.49
openrouter/mistralai/mistral-large,Mistral Large,0.8,1.39,0.76,0.87,3.82
openrouter/qwen/qwen-2.5-72b-instruct,Qwen 2.5 72B,0.98,1.22,0.77,0.54,3.52
openrouter/x-ai/grok-4.1-fast,Grok 4.1,2.41,1.97,1.3,1.3,6.98
