model,model_display,mean_total_procs,median_total_procs,max_total_procs,total_cases,cases_with_any,pct_with_any
openai/gpt-4o,GPT-4o,1.34,1,6,517,328,63.4%
openai/gpt-4o-mini,GPT-4o Mini,1.81,2,5,517,377,72.9%
openai/gpt-5.2,GPT-5.2,9.29,9,26,516,484,93.8%
openai/gpt-5.2-concise,GPT-5.2-Concise,8.14,8,26,504,470,93.3%
openrouter/anthropic/claude-3.5-haiku,Claude 3.5 Haiku,3.16,3,9,522,429,82.2%
openrouter/anthropic/claude-sonnet-4,Claude Sonnet 4,3.7,3,10,535,472,88.2%
openrouter/anthropic/claude-sonnet-4.5,Claude Sonnet 4.5,5.16,5,16,391,372,95.1%
openrouter/deepseek/deepseek-r1,DeepSeek R1,4.57,4,18,525,502,95.6%
openrouter/google/gemini-2.0-flash-001,Gemini 2.0 Flash,3.81,4,12,536,484,90.3%
openrouter/google/gemini-3-pro-preview,Gemini 3 Pro,4.08,4,15,511,479,93.7%
openrouter/meta-llama/llama-4-maverick,Llama 4 Maverick,2.1,2,9,519,405,78.0%
openrouter/meta-llama/llama-4-scout,Llama 4 Scout,2.63,3,9,532,439,82.5%
openrouter/mistralai/mistral-large,Mistral Large,3.26,3,15,514,443,86.2%
openrouter/qwen/qwen-2.5-72b-instruct,Qwen 2.5 72B,2.75,3,12,533,435,81.6%
openrouter/qwen/qwen3-30b-a3b,Qwen3 30B,2.44,2,9,504,404,80.2%
openrouter/x-ai/grok-4.1-fast,Grok 4.1,6.87,7,20,522,510,97.7%
