model,model_display,subcategory,cases_with,total_cases,proportion,avg_count
openai/gpt-5.2,GPT-5.2,consult_cardio,9,234,0.038461538461538464,1.0
openai/gpt-5.2,GPT-5.2,consult_gi,5,234,0.021367521367521368,1.0
openai/gpt-5.2,GPT-5.2,consult_neuro,17,234,0.07264957264957266,1.1176470588235294
openai/gpt-5.2,GPT-5.2,consult_ortho,10,234,0.042735042735042736,1.0
openai/gpt-5.2,GPT-5.2,consult_other,81,234,0.34615384615384615,1.4197530864197532
openai/gpt-5.2,GPT-5.2,consult_pt,15,234,0.0641025641025641,1.0
openai/gpt-5.2,GPT-5.2,consult_surgery,30,234,0.1282051282051282,1.1333333333333333
openai/gpt-5.2,GPT-5.2,imaging_ct,97,234,0.41452991452991456,1.288659793814433
openai/gpt-5.2,GPT-5.2,imaging_ecg,40,234,0.17094017094017094,1.0
openai/gpt-5.2,GPT-5.2,imaging_echo,15,234,0.0641025641025641,1.0666666666666667
openai/gpt-5.2,GPT-5.2,imaging_mri,68,234,0.2905982905982906,1.088235294117647
openai/gpt-5.2,GPT-5.2,imaging_other,71,234,0.3034188034188034,1.352112676056338
openai/gpt-5.2,GPT-5.2,imaging_ultrasound,88,234,0.37606837606837606,1.2272727272727273
openai/gpt-5.2,GPT-5.2,imaging_xray,69,234,0.2948717948717949,1.0869565217391304
openai/gpt-5.2,GPT-5.2,lab_cardiac,31,234,0.13247863247863248,1.2903225806451613
openai/gpt-5.2,GPT-5.2,lab_cbc,155,234,0.6623931623931624,1.0193548387096774
openai/gpt-5.2,GPT-5.2,lab_coag,43,234,0.18376068376068377,1.1627906976744187
openai/gpt-5.2,GPT-5.2,lab_culture,75,234,0.32051282051282054,1.4133333333333333
openai/gpt-5.2,GPT-5.2,lab_inflammatory,58,234,0.24786324786324787,1.2241379310344827
openai/gpt-5.2,GPT-5.2,lab_liver,34,234,0.1452991452991453,1.1470588235294117
openai/gpt-5.2,GPT-5.2,lab_metabolic,120,234,0.5128205128205128,1.0333333333333334
